rank,oblast,akimat,district,direction_en,subsidy_type,sum,normative,status,score_pct,score_bucket,decision
16,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,5544420.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
17,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,1378740.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
31,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,474420.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
14,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,165300.0,60.0,Исполнена,97.4,Авто-одобрение,✅ Авто-одобрение
22,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,270540.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
18,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,604860.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
21,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,3268980.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
23,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,364260.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
24,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,1350540.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
28,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,1200720.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
26,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,1440360.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
25,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,6846660.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
19,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,724380.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
35,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,2464140.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
5,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,845880.0,60.0,Исполнена,97.4,Авто-одобрение,✅ Авто-одобрение
6,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",Семей Г.А.,poultry,meat_subsidy,2159280.0,60.0,Исполнена,97.4,Авто-одобрение,✅ Авто-одобрение
27,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,753120.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
13,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,200100.0,60.0,Исполнена,97.4,Авто-одобрение,✅ Авто-одобрение
1,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,1080360.0,60.0,Исполнена,97.4,Авто-одобрение,✅ Авто-одобрение
20,область Абай,"ГУ ""Управление сельского хозяйства области Абай""",район Жаңасемей,poultry,meat_subsidy,3600000.0,60.0,Сформировано поручение,97.4,Авто-одобрение,✅ Авто-одобрение
